Best Epoch for Validation Accuracy = 14

Epoch	Validation Accuracy
1	0.8446
2	0.8687
3	0.8690
4	0.8660
5	0.8884
6	0.8851
7	0.8616
8	0.8663
9	0.8613
10	0.8590
11	0.8881
12	0.8838
13	0.8831
14	0.9002
15	0.9089
16	0.8717
17	0.8982
18	0.8757
19	0.8670
20	0.8874

Epoch	Training Accuracy
1	0.7047
2	0.8780
3	0.9193
4	0.9320
5	0.9520
6	0.9767
7	0.9660
8	0.9733
9	0.9613
10	0.9487
11	0.9627
12	0.9827
13	0.9807
14	0.9907
15	0.9847
16	0.9820
17	0.9780
18	0.9733
19	0.9720
20	0.9807

Epoch	Loss
1	0.9939
2	0.4027
3	0.2404
4	0.2136
5	0.1535
6	0.0827
7	0.1074
8	0.0966
9	0.1118
10	0.1619
11	0.1142
12	0.0742
13	0.0580
14	0.0327
15	0.0615
16	0.0514
17	0.0650
18	0.0719
19	0.0852
20	0.0501
